jurisdiction,issuing_body,source_collection,document_title,document_type,file_format,page_count,source_url,sha256,license_name,license_url
Singapore,Monetary Authority of Singapore (MAS),MAS-Guidelines,Technology Risk Management Guidelines 2021,Guidelines,PDF,57,https://www.mas.gov.sg/-/media/MAS/Regulations-and-Financial-Stability/Regulatory-and-Supervisory-Framework/Risk-Management/TRM-Guidelines-18-January-2021.pdf,2b8959e883bd66cb17286bdfc3e04fc181a6cd0ad786c99d4998c2d6c3e0efcb,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice 1014 MerchantBanks 2025-06-30,Notice,PDF,46,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/mas-notice-1014.pdf,c8bd52de7a08b93573dc9efef63aa1e11992c757fdeb7ae39b3aa017050472dc,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice 314 LifeInsurers 2021-06-28,Notice,PDF,29,https://www.mas.gov.sg/-/media/mas-media-library/regulation/notices/id/notice-314/mas-314_tracked_28-jun-2021.pdf,3d521e61e49aaf4658a41b782a80e15258bca4ce88f326446884933f83da8a76,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice 314 LifeInsurers 2025-06-30,Notice,PDF,32,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/mas-notice-314.pdf,c76f9b1ad634379289ec470f1477f126131a50b5928c981b0a6ec5a95ad5375c,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice 626 Banks 2025-06-30,Notice,PDF,44,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/mas-notice-626-amendment--new.pdf,39886a6842407c92b556bdf9822ccc3e605ff5f9ff7d5d115e55346a193df572,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice 824 FinanceCompanies 2025-06-30,Notice,PDF,47,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/mas-notice-824.pdf,61149885d6ded88910ec13ac1ec94bbe590a2875216053d5db268240c26aa8a8,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice PSM-N01 PreciousMetals 2025-06-30,Notice,PDF,34,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/mas-notice-psm-n01.pdf,9617e233623852ec4831fa5d4a5c5548632b0b415190b2b21c875c48010c9dde,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice PSN01 2024-04-02,Notice,PDF,45,https://www.mas.gov.sg/-/media/mas-media-library/regulation/notices/amld/psn01-aml-cft-notice---specified-payment-services/notice-psn01-dated-2-april-2024.pdf,f5d3fd73849ee27c9303c23b2ad58a4342ffa3cd9077881a966edb07d01e0eff,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice PSN02 2024-04-02 rev 2025-06-30,Notice,PDF,43,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/mas-notice-psn02.pdf,417228836d7e2aa3ffe9e3901ea1bb572e2e7f51efc675162178b466c3b4944a,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice PSN02 original,Notice,PDF,38,https://www.mas.gov.sg/-/media/mas-media-library/regulation/notices/amld/psn02-aml-cft-notice---digital-payment-token-service/notice-psn02-dated-2-april-2024.pdf,4b4c3c417dc293ba721c8625bc3e7952a4207411cb2e8e7ce5ff89411b9b1c67,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Notices,MAS Notice SFA04-N02 CMI 2025-06-30,Notice,PDF,38,https://www.mas.gov.sg/-/media/amld-amendments---30-june-2025/mas-notice-sfa04-n02.pdf,a36f5e758603953f03580e38935b4ad6409002567a91eb229f19faa6af5d83c4,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
